,tpr,fpr,taus
243,1.0,0.7368184992341545,0.486
244,1.0,0.7064550681875064,0.488
245,1.0,0.6745629973977916,0.49
246,1.0,0.6413384341008135,0.492
247,1.0,0.6070079023206004,0.494
248,1.0,0.5718238005921277,0.496
249,1.0,0.5360588942293562,0.498
250,1.0,0.5,0.5
251,1.0,0.4639411057706438,0.502
252,1.0,0.4281761994078724,0.504
253,1.0,0.3929920976793996,0.506
254,1.0,0.35866156589918646,0.508
255,1.0,0.3254370026022085,0.51
256,1.0,0.29354493181249364,0.512
257,1.0,0.26318150076584546,0.514
258,1.0,0.23450912643839006,0.516
259,1.0,0.20765437370009182,0.518
260,1.0,0.18270708543892916,0.52
261,1.0,0.15972072462632997,0.522
262,1.0,0.13871383370076423,0.524
263,1.0,0.11967247089120137,0.526
264,1.0,0.10255344841714925,0.528
265,1.0,0.08728817517809073,0.53
266,1.0,0.07378689690575645,0.532
267,1.0,0.061943129211679764,0.534
268,1.0,0.051638092153684624,0.536
269,1.0,0.04274497690510631,0.538
270,1.0,0.035132903493210806,0.54
271,1.0,0.028670460871215702,0.542
272,1.0,0.02322875434275641,0.544
273,1.0,0.01868391833739856,0.546
274,1.0,0.014919082873779613,0.548
275,1.0,0.011825808327677932,0.55
276,1.0,0.009305024419517955,0.552
277,1.0,0.007267525204470327,0.554
278,1.0,0.005634082278588267,0.556
279,1.0,0.004335243758271772,0.558
280,1.0,0.003310887471507592,0.56
281,1.0,0.0025095940177921115,0.562
282,1.0,0.0018878997938774485,0.5640000000000001
283,1.0,0.0014094826326953756,0.5660000000000001
284,1.0,0.0010443241900822992,0.5680000000000001
285,1.0,0.0007678843575687325,0.5700000000000001
286,1.0,0.0005603143628797231,0.5720000000000001
287,1.0,0.0004057272790153106,0.5740000000000001
288,1.0,0.00029153768941487997,0.5760000000000001
289,1.0,0.00020787641117746094,0.578
290,1.0,0.00014708151024596735,0.58
291,1.0,0.00010326331466757585,0.582
292,1.0,7.193864511831409e-05,0.584
293,1.0,4.972789732205002e-05,0.586
294,1.0,3.410777119759289e-05,0.588
295,1.0,2.3212185920527533e-05,0.59
296,1.0,1.567409686874061e-05,0.592
297,1.0,1.0501404697100077e-05,0.594
298,1.0,6.980804776425083e-06,0.596
299,1.0,4.604175815873508e-06,0.598
300,1.0,3.0128805758810535e-06,0.6
301,1.0,1.956100028835598e-06,0.602
302,1.0,1.260013027327912e-06,0.604
303,1.0,8.052481622864314e-07,0.606
304,1.0,5.105652527316369e-07,0.608
305,1.0,3.2117062359182604e-07,0.61
306,1.0,2.004378903384366e-07,0.612
307,1.0,1.2410229990640642e-07,0.614
308,1.0,7.623116018002054e-08,0.616
309,1.0,4.645524444891062e-08,0.618
310,1.0,2.808558326647415e-08,0.62
311,1.0,1.6845181757264373e-08,0.622
312,1.0,1.0023253288978051e-08,0.624
313,1.0,5.9167029094304816e-09,0.626
314,1.0,3.4648647200240833e-09,0.628
315,1.0,2.0129165604991507e-09,0.63
316,1.0,1.1601010900669936e-09,0.632
317,1.0,6.632758138414565e-10,0.634
318,1.0,3.7619977346419215e-10,0.636
319,1.0,2.116736507147139e-10,0.638
320,1.0,1.1815086619813503e-10,0.64
321,1.0,6.542246009836711e-11,0.642
322,0.9999,3.593641633496813e-11,0.644
323,0.9999,1.9582076620700397e-11,0.646
324,0.9999,1.0585150191060671e-11,0.648
325,0.9999,5.676071792460946e-12,0.65
326,0.9999,3.01932350202434e-12,0.652
327,0.9999,1.5932382334375708e-12,0.654
328,0.9999,8.339875031984854e-13,0.656
329,0.9999,4.330565537327661e-13,0.658
330,0.9998,2.2306656754716063e-13,0.66
331,0.9998,1.1397976191844381e-13,0.662
332,0.9998,5.777274973389738e-14,0.664
333,0.9998,2.9048188081786553e-14,0.666
334,0.9998,1.448820222520389e-14,0.668
335,0.9998,7.168167719735073e-15,0.67
336,0.9998,3.518024256695394e-15,0.672
337,0.9998,1.7127159971181283e-15,0.674
338,0.9998,8.271163554182459e-16,0.676
339,0.9998,3.962246621960599e-16,0.678
340,0.9998,1.8828207809746002e-16,0.68
341,0.9998,8.874993040741963e-17,0.682
342,0.9998,4.149708815271458e-17,0.684
343,0.9997,1.9246724235268494e-17,0.686
344,0.9997,8.854920874731858e-18,0.6880000000000001
345,0.9997,4.041106494182044e-18,0.6900000000000001
346,0.9996,1.8293751310279724e-18,0.6920000000000001
347,0.9995,8.214691367208074e-19,0.6940000000000001
348,0.9995,3.659020989972433e-19,0.6960000000000001
349,0.9994,1.6166756866782646e-19,0.6980000000000001
350,0.9994,7.08540173834195e-20,0.7000000000000001
351,0.9994,3.080270452601967e-20,0.7020000000000001
352,0.9994,1.328297240234294e-20,0.704
353,0.9993,5.681761675756009e-21,0.706
354,0.9992,2.4107455283545127e-21,0.708
355,0.9992,1.0146111978160267e-21,0.71
356,0.9992,4.235719431977303e-22,0.712
357,0.9992,1.7540150623271084e-22,0.714
358,0.9992,7.204725077611276e-23,0.716
359,0.9992,2.935478130511256e-23,0.718
360,0.999,1.186361435538792e-23,0.72
361,0.9988,4.755884933339211e-24,0.722
362,0.9988,1.89112931600492e-24,0.724
363,0.9986,7.459094781427159e-25,0.726
364,0.9986,2.918270113048247e-25,0.728
365,0.9985,1.132501480861275e-25,0.73
366,0.9984,4.3593875389911106e-26,0.732
367,0.9984,1.664504903601264e-26,0.734
368,0.9983,6.3040127653831985e-27,0.736
369,0.9983,2.368214354456683e-27,0.738
370,0.9982,8.824627491474273e-28,0.74
371,0.9981,3.2616904353995974e-28,0.742
372,0.998,1.195802984018593e-28,0.744
373,0.9976,4.348571541124895e-29,0.746
374,0.9975,1.568567704289565e-29,0.748
375,0.9973,5.612148586491464e-30,0.75
376,0.997,1.9916998176311392e-30,0.752
377,0.997,7.011114102259093e-31,0.754
378,0.9967,2.4480383784631297e-31,0.756
379,0.9965,8.478461647579958e-32,0.758
380,0.9965,2.912615609573741e-32,0.76
381,0.9965,9.924672676536026e-33,0.762
382,0.9965,3.3544070240798936e-33,0.764
383,0.9963,1.124557120934031e-33,0.766
384,0.9962,3.739496499483584e-34,0.768
385,0.9962,1.2334179219236608e-34,0.77
386,0.9961,4.0352696428942217e-35,0.772
387,0.996,1.3094825777663891e-35,0.774
388,0.9959,4.214940332674216e-36,0.776
389,0.9959,1.3456972636348402e-36,0.778
390,0.9957,4.261546538632866e-37,0.78
391,0.9956,1.3385997272882408e-37,0.782
392,0.9955,4.1705906723894894e-38,0.784
393,0.9954,1.2888650763086854e-38,0.786
394,0.9953,3.950755172718722e-39,0.788
395,0.9952,1.2011998721197726e-39,0.79
396,0.9951,3.622535637361164e-40,0.792
397,0.9951,1.0836075481874898e-40,0.794
398,0.995,3.215089621616977e-41,0.796
399,0.9946,9.461839977323098e-42,0.798
400,0.9943,2.761972299687433e-42,0.8
401,0.9943,7.996942973381582e-43,0.802
402,0.9941,2.296621364892543e-43,0.804
403,0.9941,6.542071533602737e-44,0.806
404,0.994,1.8484232917818116e-44,0.808
405,0.994,5.180212863018229e-45,0.81
406,0.9939,1.4399704745694832e-45,0.812
407,0.9938,3.970261923253265e-46,0.8140000000000001
408,0.9937,1.0857856712446838e-46,0.8160000000000001
409,0.9934,2.9452910637428524e-47,0.8180000000000001
410,0.9931,7.924489481784943e-48,0.8200000000000001
411,0.9929,2.1148186148347458e-48,0.8220000000000001
412,0.9926,5.598007994540505e-49,0.8240000000000001
413,0.9922,1.4697797776269056e-49,0.8260000000000001
414,0.9922,3.8276233277934103e-50,0.8280000000000001
415,0.992,9.886990139790584e-51,0.8300000000000001
416,0.9916,2.5331260867786613e-51,0.8320000000000001
417,0.9915,6.437350111469372e-52,0.834
418,0.9913,1.622612771460267e-52,0.836
419,0.9909,4.056765570085005e-53,0.838
420,0.9909,1.0060093623808506e-53,0.84
421,0.9908,2.4744635031656703e-54,0.842
422,0.9905,6.036939662497542e-55,0.844
423,0.9904,1.4608620468302756e-55,0.846
424,0.9902,3.5063721195948458e-56,0.848
425,0.99,8.347627692396989e-57,0.85
426,0.9899,1.9711707692900915e-57,0.852
427,0.9897,4.616803480122489e-58,0.854
428,0.989,1.0725420676031056e-58,0.856
429,0.9889,2.4713994266692826e-59,0.858
430,0.9885,5.648421035252235e-60,0.86
431,0.9883,1.2804615795570266e-60,0.862
432,0.9882,2.8791299739193964e-61,0.864
433,0.9878,6.421124335516769e-62,0.866
434,0.9871,1.420416932465795e-62,0.868
435,0.9867,3.116559481686974e-63,0.87
436,0.9861,6.782498163635004e-64,0.872
437,0.9856,1.46405874976626e-64,0.874
438,0.985,3.134597265594818e-65,0.876
